full ID,dam,sire
C05-2019-,C04-1716-,C04-0102-
C06-0102~,C05-1413~,C05-1615-
C06-0103-,C05-1413~,C05-0501~
C06-0104-,C05-1413~,C05-1110~
C06-0105-,C05-1413~,C05-1817-
C06-0201-,C05-1615-,C05-1413~
C06-0203-,C05-1615-,C05-0501~
C06-0204-,C05-1615-,C05-1110~
C06-0205-,C05-1615-,C05-1817-
C06-0301-,C05-0501~,C05-1413~
C06-0302-,C05-0501~,C05-1615-
C06-0304-,C05-0501~,C05-1110~
C06-0305-,C05-0501~,C05-1817-
C06-0401-,C05-1110~,C05-1413~
C06-0402-,C05-1110~,C05-1615-
C06-0403-,C05-1110~,C05-0501~
C06-0405-,C05-1110~,C05-1817-
C06-0501-,C05-1817-,C05-1413~
C06-0502-,C05-1817-,C05-1615-
C06-0503-,C05-1817-,C05-0501~
C06-0504-,C05-1817-,C05-1110~
C06-0607-,C05-0607-,C05-1312-
C06-0620-,C05-0607-,C05-1514~
C06-0706-,C05-1312-,C05-0607-
C06-0708-,C05-1312-,C05-0201~
C06-0807-,C05-0201~,C05-1312-
C06-0809-,C05-0201~,C05-0302~
C06-0908-,C05-0302~,C05-0201~
C06-0910-,C05-0302~,C05-2019-
C06-1009-,C05-2019-,C05-0302~
C06-1011~,C05-2019-,C05-0503-
C06-1110~,C05-0503-,C05-2019-
C06-1112~,C05-0503-,C05-0502-
C06-1211-,C05-0502-,C05-0503-
C06-1213-,C05-0502-,C05-1314-
C06-1312-,C05-1314-,C05-0502-
C06-1314,C05-1314-,C05-0401-
C06-1413~,C05-0401-,C05-1314-
C06-1415-,C05-0401-,C05-1516-
C06-1514-,C05-1516-,C05-0401-
C06-1516-,C05-1516-,C05-1213-
C06-1615-,C05-1213-,C05-1516-
C06-1617-,C05-1213-,C05-1718-
C06-1716~,C05-1718-,C05-1213-
C06-1718,C05-1718-,C05-0104~
C06-1817~,C05-0104~,C05-1718-
C06-1819-,C05-0104~,C05-0105~
C06-1918-,C05-0105~,C05-0104~
C06-1920-,C05-0105~,C05-1514~
C06-2006-,C05-1514~,C05-0607-
C06-2019-,C05-1514~,C05-0105~
C07-0102~,C06-0405-,C06-0503-
C07-0103-,C06-0405-,C06-1413~
C07-0104-,C06-0405-,C06-0809-
C07-0105-,C06-0405-,C06-0103-
C07-0201,C06-0503-,C06-0405-
C07-0203-,C06-0503-,C06-1413~
C07-0204-,C06-0503-,C06-0809-
C07-0205-,C06-0503-,C06-0103-
C07-0301,C06-1413~,C06-0405-
C07-0302-,C06-1413~,C06-0503-
C07-0304,C06-1413~,C06-0809-
C07-0305-,C06-1413~,C06-0103-
C07-0401-,C06-0809-,C06-0405-
C07-0402~,C06-0809-,C06-0503-
C07-0403-,C06-0809-,C06-1413~
C07-0405,C06-0809-,C06-0103-
C07-0501-,C06-0103-,C06-0405-
C07-0502-,C06-0103-,C06-0503-
C07-0503-,C06-0103-,C06-1413~
C07-0504-,C06-0103-,C06-0809-
C07-0607~,C06-0104-,C06-1514-
C07-0620-,C06-0104-,C06-0807-
C07-0706-,C06-1514-,C06-0104-
C07-0708-,C06-1514-,C06-0501-
C07-0807-,C06-0501-,C06-1514-
C07-0809~,C06-0501-,C06-1920-
C07-0908-,C06-1920-,C06-0501-
C07-0910-,C06-1920-,C06-0504-
C07-1009-,C06-0504-,C06-1920-
C07-1011-,C06-0504-,C06-1011~
C07-1110-,C06-1011~,C06-0504-
C07-1112-,C06-1011~,C06-1312-
C07-1211,C06-1312-,C06-1011~
C07-1213-,C06-1312-,C06-1617-
C07-1312-,C06-1617-,C06-1312-
C07-1314-,C06-1617-,C06-0607-
C07-1413~,C06-0607-,C06-1617-
C07-1415-,C06-0607-,C06-2006-
C07-1514-,C06-2006-,C06-0607-
C07-1516~,C06-2006-,C06-1211-
C07-1615-,C06-1211-,C06-2006-
C07-1617,C06-1211-,C06-0102~
C07-1716-,C06-0102~,C06-1211-
C07-1718-,C06-0102~,C06-0203-
C07-1817,C06-0203-,C06-0102~
C07-1819-,C06-0203-,C06-1718
C07-1918-,C06-1718,C06-0203-
C07-1920-,C06-1718,C06-0807-
C07-2006-,C06-0807-,C06-0104-
C07-2019~,C06-0807-,C06-1718
C08-0102,C07-0403-,C07-0503-
C08-0103,C07-0403-,C07-1314-
C08-0104-,C07-0403-,C07-0809~
C08-0105-,C07-0403-,C07-1718-
C08-0201~,C07-0503-,C07-0403-
C08-0203-,C07-0503-,C07-1314-
C08-0204~,C07-0503-,C07-0809~
C08-0205-,C07-0503-,C07-1718-
C08-0301-,C07-1314-,C07-0403-
C08-0302-,C07-1314-,C07-0503-
C08-0304~,C07-1314-,C07-0809~
C08-0305-,C07-1314-,C07-1718-
C08-0401-,C07-0809~,C07-0403-
C08-0402,C07-0809~,C07-0503-
C08-0403-,C07-0809~,C07-1314-
C08-0405~,C07-0809~,C07-1718-
C08-0501,C07-1718-,C07-0403-
C08-0502-,C07-1718-,C07-0503-
C08-0503-,C07-1718-,C07-1314-
C08-0504,C07-1718-,C07-0809~
C08-0607-,C07-0620-,C07-0104-
C08-0620-,C07-0620-,C07-1516~
C08-0706-,C07-0104-,C07-0620-
C08-0708-,C07-0104-,C07-0302-
C08-0807-,C07-0302-,C07-0104-
C08-0809-,C07-0302-,C07-0103-
C08-0908-,C07-0103-,C07-0302-
C08-0910,C07-0103-,C07-0203-
C08-1009-,C07-0203-,C07-0103-
C08-1011-,C07-0203-,C07-0807-
C08-1110,C07-0807-,C07-0203-
C08-1112~,C07-0807-,C07-1312-
C08-1211-,C07-1312-,C07-0807-
C08-1213-,C07-1312-,C07-1819-
C08-1312~,C07-1819-,C07-1312-
C08-1314~,C07-1819-,C07-0401-
C08-1413~,C07-0401-,C07-1819-
C08-1415,C07-0401-,C07-1413~
C08-1514-,C07-1413~,C07-0401-
C08-1516,C07-1413~,C07-0305-
C08-1615~,C07-0305-,C07-1413~
C08-1617-,C07-0305-,C07-1514-
C08-1716-,C07-1514-,C07-0305-
C08-1718,C07-1514-,C07-1415-
C08-1817-,C07-1415-,C07-1514-
C08-1819-,C07-1415-,C07-0501-
C08-1918-,C07-0501-,C07-1415-
C08-1920-,C07-0501-,C07-1516~
C08-2006,C07-1516~,C07-0620-
C08-2019-,C07-1516~,C07-0501-
C09-0102,C08-0908-,C08-0620-
C09-0103,C08-0908-,C08-0104-
C09-0104,C08-0908-,C08-1213-
C09-0105,C08-0908-,C08-2019-
C09-0201,C08-0620-,C08-0908-
C09-0203-,C08-0620-,C08-0104-
C09-0204,C08-0620-,C08-1213-
C09-0205,C08-0620-,C08-2019-
C09-0301,C08-0104-,C08-0908-
C09-0302-,C08-0104-,C08-0620-
C09-0304-,C08-0104-,C08-1213-
C09-0305-,C08-0104-,C08-2019-
C09-0401-,C08-1213-,C08-0908-
C09-0402-,C08-1213-,C08-0620-
C09-0403-,C08-1213-,C08-0104-
C09-0405,C08-1213-,C08-2019-
C09-0501-,C08-2019-,C08-0908-
C09-0502~,C08-2019-,C08-0620-
C09-0503-,C08-2019-,C08-0104-
C09-0504,C08-2019-,C08-1213-
C09-0607-,C08-0203-,C08-1514-
C09-0620-,C08-0203-,C08-0305-
C09-0706,C08-1514-,C08-0203-
C09-0708~,C08-1514-,C08-0105-
C09-0807,C08-0105-,C08-1514-
C09-0809,C08-0105-,C08-1112~
C09-0908-,C08-1112~,C08-0105-
C09-0910,C08-1112~,C08-1918-
C09-1009,C08-1112~,C08-1918-
C09-1011,C08-1817-,C08-1918-
C09-1110-,C08-1817-,C08-1918-
